Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
3	Primavera	ILPF	P1	P11	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.7	53.8	18.8	0
3	Primavera	ILPF	P1	P11	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.3	63.8	20.0	1
3	Primavera	ILPF	P1	P11	0.00-0.10	0.10	916.0	2.4	1.19	0.04	0.28	0.32		22	4.7	1.2	17	17	31	2	35.2	66.2	53	26	26	5	1.70	30.4	56.0	22.6	36
3	Primavera	ILPF	P1	P11	0.10-0.20	0.05	938.0	2.4	1.48	0.05	0.16	0.21		6	4.7	0.7	10	6	22	2	16.7	38.7	43	26	16	11	1.20	0.0	0.0	0.0	1
3	Primavera	ILPF	P1	P11	0.20-0.30	0.12	882.0	2.6	1.49	0.05	0.16	0.21		2	4.6	0.6	7	3	20	3	10.6	30.6	35	23	10	22	0.92	0.0	0.0	0.0	1
3	Primavera	ILPF	P2	P12	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.2	52.3	18.7	0
3	Primavera	ILPF	P2	P12	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.5	65.6	21.1	1
3	Primavera	ILPF	P2	P12	0.00-0.10	0.08	886.0	2.4	1.37	0.05	0.23	0.27		29	4.6	1.7	14	14	31	2	29.7	60.7	49	23	23	6	1.81	26.7	63.5	22.1	24
3	Primavera	ILPF	P2	P12	0.10-0.20	0.07	935.0	2.6	1.52	0.04	0.17	0.21		13	4.4	0.9	9	7	34	6	16.9	50.9	33	18	14	26	1.36	0.0	0.0	0.0	0
3	Primavera	ILPF	P2	P12	0.20-0.30	0.07	899.0	2.4	1.67	0.02	0.16	0.18		4	4.3	0.7	6	3	31	8	9.7	40.7	24	15	7	45	1.27	0.0	0.0	0.0	0
3	Primavera	ILPF	P3	P13	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.3	52.3	19.6	0
3	Primavera	ILPF	P3	P13	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.5	60.1	21.0	1
3	Primavera	ILPF	P3	P13	0.00-0.10	0.09	930.0	2.7	1.50	0.02	0.22	0.25		17	5.1	1.1	26	28	22	2	55.1	77.1	71	34	36	4	1.95	28.7	52.2	21.8	31
3	Primavera	ILPF	P3	P13	0.10-0.20	0.06	926.0	2.5	1.58	0.03	0.16	0.19		6	5.1	0.7	13	11	20	2	24.7	44.7	55	29	25	7	1.35	0.0	0.0	0.0	2
3	Primavera	ILPF	P3	P13	0.20-0.30	0.08	940.0	2.6	1.60	0.03	0.16	0.19		4	5.2	0.6	12	7	18	0	19.6	37.6	52	32	19	0	1.02	0.0	0.0	0.0	0
3	Primavera	ILPF	P4	P14	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.2	50.9	19.6	0
3	Primavera	ILPF	P4	P14	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.0	60.3	21.0	4
3	Primavera	ILPF	P4	P14	0.00-0.10	0.07	930.0	2.5	1.46	0.03	0.21	0.24		14	4.9	0.7	15	16	22	2	31.7	53.7	59	28	30	6	1.63	26.5	67.1	21.8	13
3	Primavera	ILPF	P4	P14	0.10-0.20	0.06	862.0	2.6	2.29	0.02	0.18	0.20		7	5.0	0.7	13	9	22	1	22.7	44.7	51	29	20	4	1.71	0.0	0.0	0.0	3
3	Primavera	ILPF	P4	P14	0.20-0.30	0.05	922.0	2.5	2.45	0.02	0.15	0.17		3	5.1	0.5	12	6	20	1	18.5	38.5	48	31	16	5	1.48	0.0	0.0	0.0	1
3	Primavera	ILPF	P5	P15	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.0	53.3	19.8	0
